article_id,url,headline,section,topic_tags,published_at,author_id,word_count,language,sponsor_tag
21,https://cascadetribune.com/city_hall/2024/01/city-council-approves-ranked-choice-ballot-design-21,City Council approves ranked-choice ballot design,city_hall,"[""city_council"", ""ethics_commission"", ""public_records""]",2024-01-02T17:44:42,10,1083,en,
22,https://cascadetribune.com/city_hall/2024/01/portland-s-the-homelessness-response-budget-faces-a-council--22,Portland's the homelessness response budget faces a council split,city_hall,"[""mayors_office"", ""washington_county""]",2024-01-02T16:30:15,2,1340,en,
23,https://cascadetribune.com/transportation/2024/01/cuts-could-save-the-agency-12-million-in-east-portland-23,Cuts could save the agency $12 million in East Portland,transportation,"[""downtown"", ""trimet""]",2024-01-02T17:44:38,13,930,en,
24,https://cascadetribune.com/housing/2024/01/portland-s-rent-assistance-pipeline-hits-a-six-year-high-24,Portland's rent assistance pipeline hits a six-year high,housing,"[""city_council"", ""encampments""]",2024-01-03T08:06:22,22,1281,en,
25,https://cascadetribune.com/business/2024/01/inside-the-credit-union-reshaping-inner-southeast-25,Inside the credit union reshaping Inner Southeast,business,"[""downtown"", ""public_safety""]",2024-01-03T12:29:15,10,702,en,
26,https://cascadetribune.com/opinion/2024/01/why-portland-s-bike-network-needs-to-stop-pretending-the-eas-26,Why Portland's bike network needs to stop pretending the eastside doesn't exist,opinion,"[""fentanyl_crisis"", ""homelessness""]",2024-01-03T20:07:33,15,1247,en,
27,https://cascadetribune.com/housing/2024/01/shelter-capacity-report-flags-gap-in-northeast-portland-27,Shelter capacity report flags gap in Northeast Portland,housing,"[""adu"", ""evictions""]",2024-01-03T16:11:56,4,950,en,
28,https://cascadetribune.com/housing/2024/01/inside-the-modular-supportive-housing-project-planned-for-ea-28,Inside the modular supportive housing project planned for East Portland,housing,"[""adu"", ""joint_office"", ""multnomah_county"", ""zoning""]",2024-01-03T18:27:34,22,960,en,
29,https://cascadetribune.com/food_drink/2024/01/the-two-stop-bar-crawl-taking-over-east-portland-29,The two-stop bar crawl taking over East Portland,food_drink,"[""craft_beer"", ""farmers_markets"", ""wine_country""]",2024-01-03T18:37:27,14,722,en,
30,https://cascadetribune.com/opinion/2024/01/column-we-keep-mistaking-visibility-for-success-in-homeless--30,Column: we keep mistaking visibility for success in homeless services,opinion,"[""measure_110"", ""ranked_choice_voting""]",2024-01-03T12:56:15,4,1243,en,
31,https://cascadetribune.com/city_hall/2024/01/audit-finds-inconsistent-contract-enforcement-in-multnomah-c-31,Audit finds inconsistent contract enforcement in Multnomah County Health Department,city_hall,"[""mayors_office"", ""police_oversight""]",2024-01-03T12:32:46,10,1661,en,
32,https://cascadetribune.com/city_hall/2024/01/bureau-of-environmental-services-budget-would-expand-shelter-32,Bureau of Environmental Services budget would expand shelter beds,city_hall,"[""city_audit"", ""ppb_reform"", ""ranked_choice_voting""]",2024-01-04T16:15:54,11,1250,en,
33,https://cascadetribune.com/city_hall/2024/01/records-show-the-contract-was-awarded-without-bids-at-portla-33,Records show the contract was awarded without bids at Portland Bureau of Emergency Management,city_hall,"[""city_audit"", ""ethics_commission""]",2024-01-04T08:07:44,15,796,en,
34,https://cascadetribune.com/city_hall/2024/01/records-show-officials-knew-about-the-leak-in-march-at-burea-34,Records show officials knew about the leak in March at Bureau of Planning,city_hall,"[""city_audit"", ""police_oversight"", ""public_records""]",2024-01-04T15:47:43,22,923,en,
35,https://cascadetribune.com/transportation/2024/01/burnside-bridge-replacement-moves-to-environmental-review-35,Burnside Bridge replacement moves to environmental review,transportation,"[""city_council"", ""downtown""]",2024-01-04T20:24:53,5,907,en,
36,https://cascadetribune.com/business/2024/01/daimler-trucks-na-expands-into-eugene-36,Daimler Trucks NA expands into Eugene,business,"[""homelessness"", ""small_business""]",2024-01-04T09:49:58,22,676,en,Stumptown Roasters Co-op
37,https://cascadetribune.com/city_hall/2024/01/city-auditor-questions-the-public-records-request-backlog-am-37,City Auditor questions the public records request backlog amid a public records release,city_hall,"[""charter_reform"", ""city_audit""]",2024-01-04T07:01:17,18,1452,en,
38,https://cascadetribune.com/city_hall/2024/01/portland-bureau-of-emergency-management-budget-would-freeze--38,Portland Bureau of Emergency Management budget would freeze transit subsidies,city_hall,"[""ethics_commission"", ""police_oversight"", ""washington_county""]",2024-01-04T15:18:24,21,1152,en,
39,https://cascadetribune.com/housing/2024/01/rent-in-mississippi-what-concessions-are-now-standard-39,Rent in Mississippi: what concessions are now standard,housing,"[""adu"", ""encampments"", ""zoning""]",2024-01-04T08:29:01,18,1057,en,
40,https://cascadetribune.com/culture/2024/01/local-experimental-cinema-what-this-year-is-doing-differentl-40,Local experimental cinema: what this year is doing differently,culture,"[""museums"", ""performing_arts""]",2024-01-04T16:57:31,14,727,en,
41,https://cascadetribune.com/housing/2024/01/the-no-cause-eviction-ban-clears-another-hurdle-at-the-state-41,The no-cause eviction ban clears another hurdle at the state legislature,housing,"[""adu"", ""homelessness"", ""multnomah_county""]",2024-01-04T19:54:40,18,1528,en,
42,https://cascadetribune.com/transportation/2024/01/why-belmont-riders-lost-two-stops-in-last-month-s-restructur-42,Why Belmont riders lost two stops in last month's restructure,transportation,"[""ev_charging"", ""trimet""]",2024-01-05T09:08:02,13,1073,en,Oregon Department of Transportation
43,https://cascadetribune.com/culture/2024/01/inside-hawthorne-s-indie-literary-scene-43,Inside Hawthorne's indie literary scene,culture,"[""k12_arts"", ""performing_arts""]",2024-01-05T07:02:29,14,940,en,
44,https://cascadetribune.com/transportation/2024/01/the-outer-powell-bike-network-clears-design-review-44,The Outer Powell bike network clears design review,transportation,"[""downtown"", ""freight"", ""parking_reform""]",2024-01-05T12:33:12,13,799,en,
45,https://cascadetribune.com/climate/2024/01/wildfire-season-follows-the-third-driest-spring-on-record-ea-45,Wildfire season follows the third-driest spring on record earlier than expected,climate,"[""climate_resilience"", ""fire_season"", ""oregon_legislature"", ""wildfires""]",2024-01-05T13:44:29,9,1074,en,
46,https://cascadetribune.com/city_hall/2024/01/multnomah-county-moves-to-take-over-the-homeless-services-co-46,Multnomah County moves to take over the homeless services contract after a damning state report,city_hall,"[""clackamas_county"", ""mayors_office"", ""police_oversight"", ""public_records""]",2024-01-05T15:20:44,9,1034,en,
47,https://cascadetribune.com/culture/2024/01/sleater-kinney-returns-to-aladdin-theater-with-a-return-to-c-47,Sleater-Kinney returns to Aladdin Theater with a return to chamber-pop form,culture,"[""indie_music"", ""performing_arts""]",2024-01-05T09:53:00,14,801,en,
48,https://cascadetribune.com/city_hall/2024/01/multnomah-county-expands-deflection-court-capacity-after-a-f-48,Multnomah County expands deflection court capacity after a federal compliance deadline,city_hall,"[""ballot_measures"", ""mayors_office""]",2024-01-05T08:19:24,6,1561,en,Oregon Department of Transportation
49,https://cascadetribune.com/food_drink/2024/01/friday-night-neighborhood-guide-where-chefs-are-eating-49,Friday-night neighborhood guide: where chefs are eating,food_drink,"[""coffee_culture"", ""craft_beer"", ""new_restaurants"", ""wine_country""]",2024-01-05T14:27:01,19,705,en,
50,https://cascadetribune.com/housing/2024/01/permitting-backlog-report-flags-gap-in-north-portland-50,Permitting backlog report flags gap in North Portland,housing,"[""encampments"", ""joint_office"", ""rent_stabilization""]",2024-01-05T17:07:04,12,1515,en,
51,https://cascadetribune.com/city_hall/2024/01/audit-finds-missing-payroll-records-in-portland-bureau-of-em-51,Audit finds missing payroll records in Portland Bureau of Emergency Management,city_hall,"[""charter_reform"", ""clackamas_county"", ""oregon_legislature""]",2024-01-05T10:28:39,22,1129,en,
52,https://cascadetribune.com/transportation/2024/01/vision-zero-report-flags-high-injury-network-unchanged-after-52,Vision Zero report flags high-injury network unchanged after five years,transportation,"[""downtown"", ""ev_charging"", ""vision_zero""]",2024-01-05T08:11:05,13,583,en,
53,https://cascadetribune.com/housing/2024/01/inside-the-transit-oriented-development-planned-for-outer-so-53,Inside the transit-oriented development planned for outer Southwest,housing,"[""encampments"", ""evictions"", ""multnomah_county""]",2024-01-06T09:27:59,22,1071,en,
54,https://cascadetribune.com/opinion/2024/01/portland-needs-an-honest-conversation-about-deflection-54,Portland needs an honest conversation about deflection,opinion,"[""rent_stabilization"", ""trimet""]",2024-01-06T15:40:22,8,921,en,
55,https://cascadetribune.com/housing/2024/01/portland-s-permitting-backlog-hits-a-record-streak-55,Portland's permitting backlog hits a record streak,housing,"[""encampments"", ""housing_authority"", ""zoning""]",2024-01-06T15:05:27,2,1589,en,
56,https://cascadetribune.com/business/2024/01/adidas-north-america-cuts-90-jobs-as-a-public-records-releas-56,Adidas North America cuts 90 jobs as a public records release,business,"[""openings_closings"", ""port_of_portland"", ""public_safety"", ""small_business""]",2024-01-06T08:37:53,4,832,en,
57,https://cascadetribune.com/climate/2024/01/climate-scientists-revise-salmon-return-projections-after-co-57,Climate scientists revise salmon return projections after court ruling,climate,"[""climate_resilience"", ""decarbonization"", ""fire_season"", ""salmon""]",2024-01-07T17:19:28,3,879,en,
58,https://cascadetribune.com/housing/2024/01/inside-the-shelter-conversion-planned-for-inner-southeast-58,Inside the shelter conversion planned for Inner Southeast,housing,"[""adu"", ""homelessness"", ""multnomah_county""]",2024-01-07T17:13:20,11,1593,en,
59,https://cascadetribune.com/culture/2024/01/the-time-based-art-festival-brings-a-two-day-japanese-americ-59,The Time-Based Art Festival brings a two-day Japanese-American storytelling thread to North Portland,culture,"[""indie_music"", ""lit_scene"", ""museums""]",2024-01-07T10:25:13,14,669,en,
60,https://cascadetribune.com/transportation/2024/01/pedestrian-deaths-on-tv-highway-up-as-court-ruling-60,Pedestrian deaths on TV Highway up as court ruling,transportation,"[""bike_infrastructure"", ""ev_charging"", ""freight""]",2024-01-08T07:10:09,5,838,en,
61,https://cascadetribune.com/city_hall/2024/01/joint-office-of-homeless-services-budget-would-cut-transit-s-61,Joint Office of Homeless Services budget would cut transit subsidies,city_hall,"[""ballot_measures"", ""oregon_legislature""]",2024-01-08T12:47:25,10,839,en,
62,https://cascadetribune.com/city_hall/2024/01/multnomah-county-expands-deflection-court-capacity-after-a-d-62,Multnomah County expands deflection court capacity after a damning state report,city_hall,"[""city_audit"", ""public_records"", ""washington_county""]",2024-01-08T12:35:37,1,897,en,
63,https://cascadetribune.com/city_hall/2024/01/portland-s-the-short-term-rental-fee-hike-faces-a-state-pree-63,Portland's the short-term rental fee hike faces a state preemption,city_hall,"[""charter_reform"", ""multnomah_county"", ""ranked_choice_voting""]",2024-01-08T16:44:40,22,1288,en,
64,https://cascadetribune.com/business/2024/01/inside-the-mutual-aid-hardware-store-reshaping-inner-southea-64,Inside the mutual-aid hardware store reshaping Inner Southeast,business,"[""downtown"", ""small_business""]",2024-01-08T07:31:14,11,616,en,
65,https://cascadetribune.com/business/2024/01/on-semiconductor-expands-into-beaverton-65,On Semiconductor expands into Beaverton,business,"[""openings_closings"", ""public_safety""]",2024-01-08T17:41:03,11,769,en,Stumptown Roasters Co-op
66,https://cascadetribune.com/transportation/2024/01/i-5-bridge-replacement-hits-its-second-cost-overrun-66,I-5 bridge replacement hits its second cost overrun,transportation,"[""bridge_replacement"", ""freight"", ""trimet"", ""vision_zero""]",2024-01-08T19:14:43,13,875,en,
67,https://cascadetribune.com/city_hall/2024/01/multnomah-county-shelves-a-behavioral-health-expansion-after-67,Multnomah County shelves a behavioral health expansion after rising overdose figures,city_hall,"[""ballot_measures"", ""city_audit"", ""police_oversight"", ""public_records""]",2024-01-08T12:55:38,7,1219,en,
68,https://cascadetribune.com/city_hall/2024/01/records-show-the-bureau-missed-reporting-deadlines-twice-at--68,Records show the bureau missed reporting deadlines twice at Bureau of Development Services,city_hall,"[""charter_reform"", ""ppb_reform""]",2024-01-09T17:51:32,5,1624,en,
69,https://cascadetribune.com/housing/2024/01/supportive-housing-waitlist-report-flags-gap-in-northeast-po-69,Supportive housing waitlist report flags gap in Northeast Portland,housing,"[""homelessness"", ""joint_office""]",2024-01-09T07:10:37,22,1406,en,
70,https://cascadetribune.com/transportation/2024/01/why-hawthorne-riders-say-weekend-cuts-gut-access-to-jobs-70,Why Hawthorne riders say weekend cuts gut access to jobs,transportation,"[""downtown"", ""trimet"", ""vision_zero""]",2024-01-09T15:30:14,5,696,en,
71,https://cascadetribune.com/housing/2024/01/portland-s-supportive-housing-waitlist-hits-the-highest-leve-71,Portland's supportive housing waitlist hits the highest level on record,housing,"[""housing_authority"", ""joint_office"", ""multnomah_county""]",2024-01-09T08:00:55,10,1097,en,
72,https://cascadetribune.com/transportation/2024/01/why-foster-powell-riders-wait-longer-for-fx-buses-than-promi-72,Why Foster-Powell riders wait longer for FX buses than promised,transportation,"[""bridge_replacement"", ""downtown"", ""trimet""]",2024-01-09T10:13:05,13,1051,en,
73,https://cascadetribune.com/city_hall/2024/01/multnomah-county-chair-questions-the-short-term-rental-fee-h-73,Multnomah County Chair questions the short-term rental fee hike amid court ruling,city_hall,"[""multnomah_county"", ""police_oversight""]",2024-01-09T12:25:54,10,1512,en,
74,https://cascadetribune.com/housing/2024/01/the-inclusionary-housing-rule-clears-another-hurdle-at-the-c-74,The inclusionary housing rule clears another hurdle at the city auditor's review,housing,"[""encampments"", ""rent_stabilization"", ""zoning""]",2024-01-09T19:19:06,22,924,en,
75,https://cascadetribune.com/culture/2024/01/inside-sellwood-s-queer-punk-scene-75,Inside Sellwood's queer punk scene,culture,"[""lit_scene"", ""museums""]",2024-01-09T09:15:10,14,576,en,
76,https://cascadetribune.com/culture/2024/01/pickathon-brings-a-two-day-japanese-american-storytelling-th-76,Pickathon brings a two-day Japanese-American storytelling thread to the central city,culture,"[""indie_music"", ""museums""]",2024-01-10T08:56:54,6,620,en,
77,https://cascadetribune.com/culture/2024/01/why-oregon-symphony-is-doubling-down-on-regional-artists-77,Why Oregon Symphony is doubling down on regional artists,culture,"[""indie_music"", ""lit_scene""]",2024-01-10T15:28:59,6,653,en,
78,https://cascadetribune.com/transportation/2024/01/trimet-restructures-the-fx-bus-rollout-78,TriMet restructures the FX bus rollout,transportation,"[""bike_infrastructure"", ""trimet""]",2024-01-10T13:44:45,22,1017,en,
79,https://cascadetribune.com/city_hall/2024/01/city-attorney-s-office-clashes-with-neighborhood-association-79,City Attorney's office clashes with neighborhood associations over ranked-choice ballot design,city_hall,"[""city_audit"", ""mayors_office"", ""public_records""]",2024-01-10T10:50:10,22,1100,en,
80,https://cascadetribune.com/opinion/2024/01/portland-needs-a-climate-plan-with-teeth-80,Portland needs a climate plan with teeth,opinion,"[""city_council"", ""homelessness""]",2024-01-10T17:44:02,17,964,en,
81,https://cascadetribune.com/city_hall/2024/01/mayor-s-office-stalls-the-downtown-revitalization-plan-amid--81,Mayor's office stalls the downtown revitalization plan amid an audit,city_hall,"[""city_council"", ""clackamas_county""]",2024-01-10T20:10:14,2,1376,en,
82,https://cascadetribune.com/transportation/2024/01/why-foster-powell-riders-wait-longer-for-fx-buses-than-promi-82,Why Foster-Powell riders wait longer for FX buses than promised,transportation,"[""downtown"", ""parking_reform""]",2024-01-10T08:02:56,13,914,en,
83,https://cascadetribune.com/city_hall/2024/01/records-show-the-bureau-missed-reporting-deadlines-twice-at--83,Records show the bureau missed reporting deadlines twice at Portland Bureau of Emergency Management,city_hall,"[""mayors_office"", ""oregon_legislature"", ""ranked_choice_voting""]",2024-01-10T17:40:39,7,902,en,
84,https://cascadetribune.com/climate/2024/01/salmon-counts-on-the-clackamas-tell-habitat-work-is-finally--84,Salmon counts on the Clackamas tell habitat work is finally showing up,climate,"[""fire_season"", ""oregon_legislature""]",2024-01-11T13:11:30,9,1073,en,
85,https://cascadetribune.com/housing/2024/01/the-tenant-screening-reform-clears-another-hurdle-at-the-cit-85,The tenant screening reform clears another hurdle at the city auditor's review,housing,"[""city_council"", ""evictions"", ""multnomah_county"", ""tenant_protections""]",2024-01-11T12:50:15,8,1248,en,
86,https://cascadetribune.com/transportation/2024/01/the-tilikum-spine-improvements-clears-a-key-council-vote-86,The Tilikum spine improvements clears a key council vote,transportation,"[""city_council"", ""ev_charging"", ""freight""]",2024-01-11T11:54:56,5,874,en,
87,https://cascadetribune.com/opinion/2024/01/why-portland-s-bike-network-needs-to-stop-pretending-the-eas-87,Why Portland's bike network needs to stop pretending the eastside doesn't exist,opinion,"[""decarbonization"", ""fentanyl_crisis"", ""rent_stabilization"", ""trimet""]",2024-01-11T15:57:51,8,1083,en,
88,https://cascadetribune.com/housing/2024/01/portland-s-permitting-backlog-hits-an-all-time-backlog-88,Portland's permitting backlog hits an all-time backlog,housing,"[""homelessness"", ""joint_office"", ""supportive_housing""]",2024-01-11T07:50:50,18,922,en,
89,https://cascadetribune.com/housing/2024/01/rent-in-east-portland-studios-outpacing-two-bedrooms-for-the-89,Rent in East Portland: studios outpacing two-bedrooms for the first time,housing,"[""rent_stabilization"", ""tenant_protections"", ""zoning""]",2024-01-11T10:20:48,12,1580,en,
90,https://cascadetribune.com/city_hall/2024/01/multnomah-county-tightens-rules-on-homelessness-contracting--90,Multnomah County tightens rules on homelessness contracting after a leaked memo,city_hall,"[""city_audit"", ""police_oversight"", ""public_records""]",2024-01-11T09:20:27,2,1279,en,
91,https://cascadetribune.com/business/2024/01/adidas-north-america-cuts-90-jobs-as-a-public-records-releas-91,Adidas North America cuts 90 jobs as a public records release,business,"[""homelessness"", ""port_of_portland"", ""public_safety""]",2024-01-11T16:25:57,22,752,en,
92,https://cascadetribune.com/transportation/2024/01/raises-could-kill-the-east-portland-night-service-in-the-pea-92,Raises could kill the East Portland night service in the Pearl,transportation,"[""bridge_replacement"", ""city_council"", ""ev_charging"", ""trimet""]",2024-01-12T13:56:03,22,555,en,Oregon Department of Transportation
93,https://cascadetribune.com/climate/2024/01/oregon-s-tribal-co-management-framework-hits-a-stakeholder-r-93,Oregon's tribal co-management framework hits a stakeholder rewrite,climate,"[""fire_season"", ""heat_dome"", ""oregon_climate_action_plan"", ""salmon""]",2024-01-12T09:48:02,16,706,en,
94,https://cascadetribune.com/climate/2024/01/wildfire-season-is-the-longest-of-the-decade-so-far-earlier--94,Wildfire season is the longest of the decade so far earlier than expected,climate,"[""atmospheric_river"", ""gas_phaseout"", ""wildfires""]",2024-01-12T11:10:44,3,1458,en,
95,https://cascadetribune.com/climate/2024/01/why-oregon-is-losing-snowpack-two-weeks-earlier-each-decade-95,Why Oregon is losing snowpack two weeks earlier each decade,climate,"[""atmospheric_river"", ""columbia_river"", ""oregon_legislature"", ""salmon""]",2024-01-12T06:39:39,9,735,en,
96,https://cascadetribune.com/city_hall/2024/01/portland-s-the-camping-ordinance-faces-puc-pushback-96,Portland's the camping ordinance faces PUC pushback,city_hall,"[""ballot_measures"", ""oregon_legislature"", ""police_oversight"", ""washington_county""]",2024-01-12T17:58:34,5,1282,en,
97,https://cascadetribune.com/food_drink/2024/01/inner-eastside-lunch-guide-five-spots-all-under-20-97,"Inner Eastside lunch guide: five spots, all under $20",food_drink,"[""craft_beer"", ""openings_closings""]",2024-01-12T17:55:35,17,722,en,
98,https://cascadetribune.com/climate/2024/01/wildfire-season-follows-the-third-driest-spring-on-record-ea-98,Wildfire season follows the third-driest spring on record earlier than expected,climate,"[""climate_resilience"", ""heat_dome""]",2024-01-12T17:42:16,16,870,en,
99,https://cascadetribune.com/housing/2024/01/joint-office-of-homeless-services-reports-first-quarter-unde-99,Joint Office of Homeless Services reports first quarter under new leadership,housing,"[""adu"", ""city_council"", ""evictions"", ""multnomah_county""]",2024-01-12T10:54:55,18,1042,en,
100,https://cascadetribune.com/city_hall/2024/01/records-show-the-bureau-missed-reporting-deadlines-twice-at--100,Records show the bureau missed reporting deadlines twice at Portland Bureau of Emergency Management,city_hall,"[""city_audit"", ""multnomah_county"", ""ppb_reform""]",2024-01-12T17:38:22,10,887,en,
101,https://cascadetribune.com/climate/2024/01/heat-wave-breaks-four-records-as-forecast-tightens-101,Heat wave breaks four records as forecast tightens,climate,"[""decarbonization"", ""fire_season"", ""heat_dome"", ""salmon""]",2024-01-12T20:30:26,9,1485,en,
102,https://cascadetribune.com/city_hall/2024/01/city-council-approves-the-camping-ordinance-102,City Council approves the camping ordinance,city_hall,"[""ballot_measures"", ""city_council"", ""ranked_choice_voting""]",2024-01-13T08:44:16,20,932,en,
103,https://cascadetribune.com/city_hall/2024/01/city-council-rejects-the-climate-resilience-plan-103,City Council rejects the climate resilience plan,city_hall,"[""charter_reform"", ""city_audit""]",2024-01-13T07:13:42,16,960,en,Oregon Department of Transportation
104,https://cascadetribune.com/transportation/2024/01/trimet-extends-the-fx-bus-rollout-104,TriMet extends the FX bus rollout,transportation,"[""bike_infrastructure"", ""bridge_replacement"", ""ev_charging""]",2024-01-13T10:45:09,5,594,en,
105,https://cascadetribune.com/city_hall/2024/01/mayor-s-office-clashes-with-transit-advocates-over-the-parki-105,Mayor's office clashes with transit advocates over the parking reform package,city_hall,"[""ethics_commission"", ""police_oversight"", ""ppb_reform""]",2024-01-14T13:04:18,2,1051,en,
106,https://cascadetribune.com/climate/2024/01/bonneville-power-administration-files-a-7-4-rate-hike-amid-w-106,Bonneville Power Administration files a 7.4% rate hike amid wildfire liability questions,climate,"[""columbia_river"", ""wildfires""]",2024-01-14T07:48:42,3,1492,en,
107,https://cascadetribune.com/food_drink/2024/01/why-ethiopian-espresso-is-showing-up-everywhere-this-fall-107,Why Ethiopian espresso is showing up everywhere this fall,food_drink,"[""coffee_culture"", ""openings_closings""]",2024-01-14T09:32:12,17,898,en,
108,https://cascadetribune.com/city_hall/2024/01/city-attorney-s-office-questions-the-camping-ordinance-amid--108,City Attorney's office questions the camping ordinance amid fall budget hearings,city_hall,"[""ethics_commission"", ""ranked_choice_voting""]",2024-01-14T12:50:31,7,934,en,Portland General Energy
109,https://cascadetribune.com/city_hall/2024/01/records-show-the-bureau-missed-reporting-deadlines-twice-at--109,Records show the bureau missed reporting deadlines twice at Portland Parks & Recreation,city_hall,"[""ballot_measures"", ""mayors_office""]",2024-01-15T14:35:15,22,1484,en,
110,https://cascadetribune.com/culture/2024/01/oregon-symphony-announces-a-30-expansion-of-k-12-programming-110,Oregon Symphony announces a 30% expansion of K-12 programming,culture,"[""indie_music"", ""k12_arts"", ""museums""]",2024-01-15T16:52:29,14,538,en,
111,https://cascadetribune.com/business/2024/01/inside-the-credit-union-reshaping-northeast-portland-111,Inside the credit union reshaping Northeast Portland,business,"[""layoffs"", ""openings_closings"", ""small_business""]",2024-01-15T14:37:03,4,531,en,
112,https://cascadetribune.com/housing/2024/01/eviction-filings-climb-in-northeast-portland-as-fall-budget--112,Eviction filings climb in Northeast Portland as fall budget hearings,housing,"[""city_council"", ""homelessness"", ""supportive_housing""]",2024-01-15T09:34:43,4,1398,en,
113,https://cascadetribune.com/city_hall/2024/01/records-show-internal-emails-warned-of-the-cost-overrun-at-p-113,Records show internal emails warned of the cost overrun at Portland Parks & Recreation,city_hall,"[""clackamas_county"", ""public_records"", ""washington_county""]",2024-01-15T11:42:31,2,1397,en,
