campaign_id,sponsor_name,sponsor_sector,start_date,end_date,format,fee_usd,impressions_delivered,engagement_rate,outcome_status,post_campaign_summary
31,Powell's Community Foundation,pnw_community_foundation,2023-05-17,2023-09-13,longform_series,60000,644337,0.124,completed,"A 4-part longform series on journalism sustainability, co-funded by Powell's Community Foundation, ran across 17 weeks. The series reached 644,337 readers with a 12.4% engagement rate. The campaign supported the launch of the foundation's regional grantee portfolio."
32,Portland State Foundation,regional_education,2023-06-15,2023-08-24,sponsored_section,29400,272928,0.0257,underdelivered,"Across 10 weeks, The Cascade Tribune produced a sponsored section with Portland State Foundation on K-16 mathematics initiatives, publishing 12 original articles. The series accumulated 272,928 impressions with a 2.6% engagement rate. Delivered impressions came in below the contracted target; the sponsor and editorial agreed on a partial credit toward a future activation."
33,Cascadia Credit Union,regional_finance,2023-06-21,2024-01-24,underwriting,143800,3748229,0.0142,did_not_renew,"A 31-week underwriting partnership with Cascadia Credit Union, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 3,748,229; average click-through 1.4%. Campaign closed on plan; sponsor walked. Internal post-mortem flagged a mismatch between the sponsor's brand-building goals and our direct-response measurement framework."
34,Toyota Northwest,national_consumer,2023-06-21,2023-09-06,longform_series,28300,1964284,0.1254,completed,"A 3-part longform series on EV market expansion, co-funded by Toyota Northwest, ran across 11 weeks. The series reached 1,964,284 readers with a 12.5% engagement rate. The sponsor reported a 14% lift in PNW brand affinity scores."
35,Lenfest Foundation Cascade,national_journalism_funder,2023-06-27,2023-08-29,sponsored_section,56700,516844,0.0536,completed,"Across 9 weeks, The Cascade Tribune produced a sponsored section with Lenfest Foundation Cascade on local news experiments, publishing 12 original articles. The series accumulated 516,844 impressions with a 5.4% engagement rate. The campaign satisfied the funder's matching-gift program requirements."
36,Columbia Pacific Bank,regional_finance,2023-06-30,2023-09-08,sponsored_section,60000,311830,0.0785,completed,"Across 10 weeks, The Cascade Tribune produced a sponsored section with Columbia Pacific Bank on small-business banking after the SBA shift, publishing 8 original articles. The series accumulated 311,830 impressions with a 7.8% engagement rate. The campaign supported the sponsor's first-time homebuyer outreach in East Portland."
37,KEEN Pacific,national_outdoor_lifestyle,2023-07-07,2024-03-08,underwriting,109400,1928369,0.0359,completed,"A 35-week underwriting partnership with KEEN Pacific, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 1,928,369; average click-through 3.6%. The sponsor reported 3,825 engagements with their PNW campaign hub during the run."
38,Columbia Mountain Apparel,national_outdoor_lifestyle,2023-07-20,2023-10-12,sponsored_section,58700,596324,0.0676,completed,"Across 12 weeks, The Cascade Tribune produced a sponsored section with Columbia Mountain Apparel on Cascade and Coast Range trail networks, publishing 12 original articles. The series accumulated 596,324 impressions with a 6.8% engagement rate. The sponsor reported 2,361 engagements with their PNW campaign hub during the run."
39,Black Diamond Cascade,national_outdoor_lifestyle,2023-08-21,2023-10-30,sponsored_section,60000,657147,0.0694,completed,"Across 10 weeks, The Cascade Tribune produced a sponsored section with Black Diamond Cascade on outdoor-recreation equity, publishing 10 original articles. The series accumulated 657,147 impressions with a 6.9% engagement rate. Two pieces were syndicated by REI Outdoor Journal and Outside."
40,Toyota Northwest,national_consumer,2023-09-08,2023-09-15,branded_newsletter,5500,118802,0.0661,ended_early,"A sponsored edition of Plate & Place dedicated to small-batch brand growth, underwritten by Toyota Northwest, reached 118,802 subscribers with a 6.6% open rate. The sponsor concluded the campaign early after a strategic priority shift. Pro-rated impressions were credited."
41,Filson Northwest,national_outdoor_lifestyle,2023-09-10,2023-09-24,event_partnership,23100,29120,0.191,completed,"Filson Northwest co-presented The Cascade Tribune's panel on Cascade and Coast Range trail networks at Holocene, with in-room and livestreamed reach of 29,120. Measured engagement was 19.1%. The sponsor reported 2,784 engagements with their PNW campaign hub during the run."
42,Seventh Generation Pacific,national_consumer,2023-11-04,2023-11-18,branded_newsletter,11200,62689,0.0871,completed,"A sponsored edition of Plate & Place dedicated to B-corp profiles, underwritten by Seventh Generation Pacific, reached 62,689 subscribers with a 8.7% open rate. Coverage accompanied the sponsor's regional product launch."
43,Northwest Film Center,regional_culture_arts,2023-11-05,2024-09-01,underwriting,74900,1481954,0.0387,completed,"A 43-week underwriting partnership with Northwest Film Center, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 1,481,954; average click-through 3.9%. The series drove 1,395 ticket inquiries during its run."
44,Schwabe Williams,regional_business_services,2023-11-21,2023-11-28,branded_newsletter,5000,106495,0.0903,completed,"A sponsored edition of Plate & Place dedicated to the Pearl District after the office downturn, underwritten by Schwabe Williams, reached 106,495 subscribers with a 9.0% open rate. The sponsor reported 72 qualified leads attributable to the campaign."
45,Japanese Garden of Portland,regional_culture_arts,2023-12-02,2024-01-20,podcast_sponsorship,7800,109785,0.1728,completed,"A 7-week podcast sponsorship (7 episodes) with Japanese Garden of Portland, focused on performing arts post-pandemic recovery. Episodes accumulated 109,785 listens with a 17.3% click-through rate on host-read placements. Two pieces won regional arts journalism awards and were reprinted by the sponsor."
46,Stoel Rivers Law,regional_business_services,2023-12-04,2024-09-23,underwriting,138300,1354864,0.0115,underdelivered,"A 42-week underwriting partnership with Stoel Rivers Law, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 1,354,864; average click-through 1.1%. Delivered impressions came in below the contracted target; the sponsor and editorial agreed on a partial credit toward a future activation."
47,Oregon Department of Transportation,state_local_govt,2023-12-12,2024-01-30,sponsored_section,24800,209829,0.0307,completed,"Across 7 weeks, The Cascade Tribune produced a sponsored section with Oregon Department of Transportation on Oregon Health Authority's behavioral-health build-out, publishing 9 original articles. The series accumulated 209,829 impressions with a 3.1% engagement rate. The series informed an expanded second-year budget request."
48,Portland General Energy,regional_utility,2023-12-18,2024-03-04,sponsored_section,33100,739370,0.062,completed,"Across 11 weeks, The Cascade Tribune produced a sponsored section with Portland General Energy on wildfire season mitigation, publishing 7 original articles. The series accumulated 739,370 impressions with a 6.2% engagement rate. The sponsor cited the series in its rate-case filing as evidence of customer education investment."
49,Stumptown Roasters Co-op,regional_food_beverage,2024-01-02,2024-01-09,branded_newsletter,5000,62585,0.08,did_not_renew,"A sponsored edition of Plate & Place dedicated to Portland's specialty-coffee scene, underwritten by Stumptown Roasters Co-op, reached 62,585 subscribers with a 8.0% open rate. Met all delivery targets. The sponsor did not renew in the following budget cycle; the relationship remains warm."
50,Charles Schwab Pacific,national_consumer,2024-02-03,2024-03-30,podcast_sponsorship,14000,191303,0.1201,completed,"A 8-week podcast sponsorship (8 episodes) with Charles Schwab Pacific, focused on climate-conscious consumption. Episodes accumulated 191,303 listens with a 12.0% click-through rate on host-read placements. The sponsor reported a 8% lift in PNW brand affinity scores."
51,Pacific Northwest Foundation,pnw_community_foundation,2024-02-22,2024-05-02,sponsored_section,60000,439939,0.0358,completed,"Across 10 weeks, The Cascade Tribune produced a sponsored section with Pacific Northwest Foundation on journalism sustainability, publishing 12 original articles. The series accumulated 439,939 impressions with a 3.6% engagement rate. The series was incorporated into the foundation's annual report."
52,Reed College Press,regional_education,2024-03-27,2024-05-29,sponsored_section,37300,616815,0.0696,completed,"Across 9 weeks, The Cascade Tribune produced a sponsored section with Reed College Press on K-16 mathematics initiatives, publishing 6 original articles. The series accumulated 616,815 impressions with a 7.0% engagement rate. The series was incorporated into freshman seminar materials at the sponsor institution."
53,Oregon Health Authority,state_local_govt,2024-03-28,2024-05-30,sponsored_section,55900,954675,0.0478,completed,"Across 9 weeks, The Cascade Tribune produced a sponsored section with Oregon Health Authority on Oregon Health Authority's behavioral-health build-out, publishing 7 original articles. The series accumulated 954,675 impressions with a 4.8% engagement rate. Coverage reached approximately 32,558 Oregon households through cross-channel distribution."
54,Portland General Energy,regional_utility,2024-04-06,2024-06-01,podcast_sponsorship,11600,58156,0.096,completed,"A 8-week podcast sponsorship (8 episodes) with Portland General Energy, focused on wildfire season mitigation. Episodes accumulated 58,156 listens with a 9.6% click-through rate on host-read placements. 2,314 customers signed up for the sponsor's energy-efficiency rebate program during the campaign."
55,Stumptown Roasters Co-op,regional_food_beverage,2024-04-11,2025-02-06,underwriting,80500,1807896,0.0218,completed,"A 43-week underwriting partnership with Stumptown Roasters Co-op, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 1,807,896; average click-through 2.2%. Three pieces from the series were syndicated by Eater Portland and PDX Monthly."
56,Powell's Community Foundation,pnw_community_foundation,2024-05-10,2024-05-17,branded_newsletter,5000,81798,0.119,completed,"A sponsored edition of The Daily Cascade dedicated to community-driven climate adaptation, underwritten by Powell's Community Foundation, reached 81,798 subscribers with a 11.9% open rate. Two pieces were cited by Multnomah County in subsequent budget testimony."
57,City of Portland Office of Sustainability,state_local_govt,2024-09-15,2025-01-26,longform_series,60000,1617790,0.0689,completed,"A 6-part longform series on the public-records modernization push, co-funded by City of Portland Office of Sustainability, ran across 19 weeks. The series reached 1,617,790 readers with a 6.9% engagement rate. Coverage reached approximately 33,250 Oregon households through cross-channel distribution."
58,Oregon Community Foundation Cascade,pnw_community_foundation,2024-09-26,2025-04-24,underwriting,46900,2916198,0.0262,completed,"A 30-week underwriting partnership with Oregon Community Foundation Cascade, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 2,916,198; average click-through 2.6%. Two pieces were cited by Multnomah County in subsequent budget testimony."
59,Onpoint Cooperative,regional_finance,2024-10-28,2025-06-09,underwriting,40200,1179273,0.0217,completed,"A 32-week underwriting partnership with Onpoint Cooperative, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 1,179,273; average click-through 2.2%. Onpoint Cooperative reported 781 new membership applications attributable to the series."
60,Stumptown Roasters Co-op,regional_food_beverage,2024-12-18,2025-03-26,longform_series,25000,1855044,0.0694,completed,"A 5-part longform series on small-format breweries in Slabtown, co-funded by Stumptown Roasters Co-op, ran across 14 weeks. The series reached 1,855,044 readers with a 6.9% engagement rate. Three pieces from the series were syndicated by Eater Portland and PDX Monthly."
61,Adventist Cascade Medical,regional_healthcare,2024-12-18,2025-02-05,sponsored_section,21900,635614,0.0742,completed,"Across 7 weeks, The Cascade Tribune produced a sponsored section with Adventist Cascade Medical on behavioral-health access in East Portland, publishing 10 original articles. The series accumulated 635,614 impressions with a 7.4% engagement rate. The campaign supported the sponsor's outreach to 4,477 previously unenrolled patients."
62,Travel Oregon,state_local_govt,2025-01-25,2025-03-29,sponsored_section,46600,241861,0.0349,completed,"Across 9 weeks, The Cascade Tribune produced a sponsored section with Travel Oregon on the Climate Protection Program rollout, publishing 7 original articles. The series accumulated 241,861 impressions with a 3.5% engagement rate. The campaign satisfied the agency's public-information mandate for the program."
63,KEEN Pacific,national_outdoor_lifestyle,2025-01-29,2025-11-12,underwriting,181100,2281424,0.0359,completed,"A 41-week underwriting partnership with KEEN Pacific, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 2,281,424; average click-through 3.6%. The campaign supported the sponsor's launch of its Cascade-region storytelling hub."
64,Powell's Community Foundation,pnw_community_foundation,2025-02-18,2025-04-29,sponsored_section,60000,487576,0.045,completed,"Across 10 weeks, The Cascade Tribune produced a sponsored section with Powell's Community Foundation on community-driven climate adaptation, publishing 12 original articles. The series accumulated 487,576 impressions with a 4.5% engagement rate. Two pieces were cited by Multnomah County in subsequent budget testimony."
65,Kaiser Cascade Network,regional_healthcare,2025-03-06,2025-03-13,branded_newsletter,8500,66841,0.0985,ended_early,"A sponsored edition of Plate & Place dedicated to vaccine equity programs, underwritten by Kaiser Cascade Network, reached 66,841 subscribers with a 9.8% open rate. Editorial flagged a conflict-of-interest concern partway through the run; both parties concluded the campaign at the natural break point."
66,Willamette Mutual Bank,regional_finance,2025-03-10,2025-03-17,branded_newsletter,5000,85341,0.1095,did_not_renew,"A sponsored edition of Plate & Place dedicated to credit-union savings products, underwritten by Willamette Mutual Bank, reached 85,341 subscribers with a 10.9% open rate. Met all delivery targets. The sponsor did not renew in the following budget cycle; the relationship remains warm."
67,Providence Cascadia Health,regional_healthcare,2025-04-03,2025-04-17,branded_newsletter,11800,70578,0.0464,completed,"A sponsored edition of Plate & Place dedicated to pediatric urgent care, underwritten by Providence Cascadia Health, reached 70,578 subscribers with a 4.6% open rate. The campaign supported the sponsor's outreach to 3,199 previously unenrolled patients."
68,Oregon Department of Transportation,state_local_govt,2025-05-20,2025-06-03,event_partnership,21900,85036,0.2726,did_not_renew,"Oregon Department of Transportation co-presented The Cascade Tribune's panel on Vision Zero implementation at the Portland Art Museum auditorium, with in-room and livestreamed reach of 85,036. Measured engagement was 27.3%. Campaign closed on plan; sponsor walked. Internal post-mortem flagged a mismatch between the sponsor's brand-building goals and our direct-response measurement framework."
69,Stumptown Roasters Co-op,regional_food_beverage,2025-05-22,2025-08-14,underwriting,100200,1264193,0.0318,ended_early,"A 12-week underwriting partnership with Stumptown Roasters Co-op, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 1,264,193; average click-through 3.2%. Editorial flagged a conflict-of-interest concern partway through the run; both parties concluded the campaign at the natural break point."
70,Stoel Rivers Law,regional_business_services,2025-07-27,2025-09-21,sponsored_section,43800,326528,0.075,completed,"Across 8 weeks, The Cascade Tribune produced a sponsored section with Stoel Rivers Law on transit-oriented development, publishing 8 original articles. The series accumulated 326,528 impressions with a 7.5% engagement rate. The sponsor reported 141 qualified leads attributable to the campaign."
71,Portland Museum of Art,regional_culture_arts,2025-10-14,2025-12-31,longform_series,22500,1228952,0.1222,completed,"A 3-part longform series on the independent literary scene, co-funded by Portland Museum of Art, ran across 11 weeks. The series reached 1,228,952 readers with a 12.2% engagement rate. The campaign accompanied the launch of the sponsor's expanded K-12 programming."
72,Spirit Mountain Cascade Fund,pnw_community_foundation,2025-11-29,2025-12-31,sponsored_section,19700,500137,0.0585,completed,"Across 4 weeks, The Cascade Tribune produced a sponsored section with Spirit Mountain Cascade Fund on Indigenous-led environmental programs, publishing 11 original articles. The series accumulated 500,137 impressions with a 5.9% engagement rate. The campaign supported the launch of the foundation's regional grantee portfolio."
